timestamp,test_suite,predicted_induced_state,three_sec_predicted_induced_state,predicted_induced_state_confidence,three_sec_predicted_induced_state_confidence,top_three_features
1626275616000000,Provisional-Test-025,baseline,baseline,[0.135 0.136 0.135 0.321 0.138 0.135],[0.135 0.136 0.135 0.321 0.138 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275617000000,Provisional-Test-025,baseline,baseline,[0.134 0.135 0.134 0.318 0.145 0.134],[0.134 0.135 0.134 0.318 0.145 0.134],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275618000000,Provisional-Test-025,baseline,baseline,[0.136 0.136 0.135 0.321 0.137 0.135],[0.136 0.136 0.135 0.321 0.137 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275619000000,Provisional-Test-025,baseline,baseline,[0.135 0.136 0.135 0.321 0.137 0.135],[0.135 0.136 0.135 0.321 0.137 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275620000000,Provisional-Test-025,baseline,baseline,[0.135 0.136 0.135 0.320 0.138 0.135],[0.135 0.136 0.135 0.320 0.138 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275621000000,Provisional-Test-025,baseline,baseline,[0.135 0.137 0.135 0.318 0.139 0.135],[0.135 0.137 0.135 0.318 0.139 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275622000000,Provisional-Test-025,baseline,baseline,[0.135 0.136 0.135 0.320 0.139 0.135],[0.135 0.136 0.135 0.320 0.139 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275623000000,Provisional-Test-025,baseline,baseline,[0.135 0.136 0.135 0.320 0.139 0.135],[0.135 0.136 0.135 0.320 0.139 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275624000000,Provisional-Test-025,baseline,baseline,[0.135 0.137 0.135 0.317 0.141 0.135],[0.135 0.137 0.135 0.317 0.141 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275625000000,Provisional-Test-025,baseline,baseline,[0.135 0.137 0.135 0.318 0.140 0.135],[0.135 0.137 0.135 0.318 0.140 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275626000000,Provisional-Test-025,baseline,baseline,[0.135 0.138 0.134 0.316 0.143 0.134],[0.135 0.138 0.134 0.316 0.143 0.134],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275627000000,Provisional-Test-025,baseline,baseline,[0.135 0.137 0.135 0.321 0.137 0.135],[0.135 0.137 0.135 0.321 0.137 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275628000000,Provisional-Test-025,baseline,baseline,[0.136 0.138 0.136 0.319 0.137 0.135],[0.136 0.138 0.136 0.319 0.137 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275629000000,Provisional-Test-025,baseline,baseline,[0.135 0.138 0.135 0.318 0.140 0.135],[0.135 0.138 0.135 0.318 0.140 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275630000000,Provisional-Test-025,baseline,baseline,[0.135 0.137 0.135 0.320 0.137 0.135],[0.135 0.137 0.135 0.320 0.137 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275631000000,Provisional-Test-025,baseline,baseline,[0.135 0.135 0.135 0.320 0.140 0.135],[0.135 0.135 0.135 0.320 0.140 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275632000000,Provisional-Test-025,baseline,baseline,[0.135 0.136 0.135 0.321 0.138 0.135],[0.135 0.136 0.135 0.321 0.138 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275633000000,Provisional-Test-025,baseline,baseline,[0.135 0.135 0.135 0.320 0.139 0.135],[0.135 0.135 0.135 0.320 0.139 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275634000000,Provisional-Test-025,baseline,baseline,[0.135 0.136 0.135 0.320 0.138 0.135],[0.135 0.136 0.135 0.320 0.138 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275635000000,Provisional-Test-025,baseline,baseline,[0.128 0.126 0.125 0.296 0.200 0.125],[0.128 0.126 0.125 0.296 0.200 0.125],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275636000000,Provisional-Test-025,baseline,baseline,[0.135 0.136 0.135 0.320 0.138 0.135],[0.135 0.136 0.135 0.320 0.138 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275637000000,Provisional-Test-025,baseline,baseline,[0.136 0.138 0.135 0.318 0.138 0.135],[0.136 0.138 0.135 0.318 0.138 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275638000000,Provisional-Test-025,baseline,baseline,[0.135 0.136 0.135 0.320 0.139 0.135],[0.135 0.136 0.135 0.320 0.139 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275639000000,Provisional-Test-025,baseline,baseline,[0.136 0.135 0.136 0.321 0.137 0.135],[0.136 0.135 0.136 0.321 0.137 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275640000000,Provisional-Test-025,baseline,baseline,[0.136 0.136 0.135 0.321 0.137 0.135],[0.136 0.136 0.135 0.321 0.137 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275641000000,Provisional-Test-025,baseline,baseline,[0.135 0.135 0.135 0.320 0.139 0.135],[0.135 0.135 0.135 0.320 0.139 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275642000000,Provisional-Test-025,baseline,baseline,[0.135 0.136 0.135 0.320 0.139 0.135],[0.135 0.136 0.135 0.320 0.139 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275643000000,Provisional-Test-025,baseline,baseline,[0.136 0.135 0.135 0.321 0.138 0.135],[0.136 0.135 0.135 0.321 0.138 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275644000000,Provisional-Test-025,baseline,baseline,[0.135 0.135 0.135 0.320 0.140 0.135],[0.135 0.135 0.135 0.320 0.140 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275645000000,Provisional-Test-025,baseline,baseline,[0.135 0.136 0.135 0.320 0.139 0.135],[0.135 0.136 0.135 0.320 0.139 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275646000000,Provisional-Test-025,baseline,baseline,[0.136 0.135 0.135 0.321 0.138 0.135],[0.136 0.135 0.135 0.321 0.138 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275647000000,Provisional-Test-025,baseline,baseline,[0.144 0.134 0.134 0.317 0.139 0.133],[0.144 0.134 0.134 0.317 0.139 0.133],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275648000000,Provisional-Test-025,baseline,baseline,[0.135 0.136 0.135 0.320 0.139 0.135],[0.135 0.136 0.135 0.320 0.139 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275649000000,Provisional-Test-025,baseline,baseline,[0.135 0.136 0.135 0.320 0.138 0.135],[0.135 0.136 0.135 0.320 0.138 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275650000000,Provisional-Test-025,baseline,baseline,[0.134 0.136 0.134 0.317 0.145 0.134],[0.134 0.136 0.134 0.317 0.145 0.134],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275651000000,Provisional-Test-025,baseline,baseline,[0.135 0.136 0.135 0.320 0.140 0.135],[0.135 0.136 0.135 0.320 0.140 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275652000000,Provisional-Test-025,baseline,baseline,[0.135 0.136 0.135 0.320 0.140 0.135],[0.135 0.136 0.135 0.320 0.140 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275653000000,Provisional-Test-025,baseline,baseline,[0.135 0.135 0.135 0.320 0.140 0.135],[0.135 0.135 0.135 0.320 0.140 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275654000000,Provisional-Test-025,baseline,baseline,[0.135 0.135 0.135 0.320 0.140 0.135],[0.135 0.135 0.135 0.320 0.140 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275655000000,Provisional-Test-025,baseline,baseline,[0.135 0.136 0.135 0.320 0.140 0.135],[0.135 0.136 0.135 0.320 0.140 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275656000000,Provisional-Test-025,baseline,baseline,[0.135 0.136 0.135 0.320 0.140 0.135],[0.135 0.136 0.135 0.320 0.140 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
